Stock Name,NSE Symbol
ABB India Limited,ABB
Aegis Logistics Ltd.,AEGISLOG
Amara Raja Energy & Mobility Limited,ARE&M
Ansal Properties & Infrastructure Ltd.,ANSALAPI
Bombay Dyeing & Mfg. Co. Ltd.,BOMDYEING
Asian Hotels (North) Limited,ASIANHOTNR
Atul Limited.,ATUL
Bajaj Electricals Ltd.,BAJAJELEC
Bajaj Hindusthan Sugar Limited,BAJAJHIND
Force Motors Limited,FORCEMOT
Bajaj Finance Limited,BAJFINANCE
Balrampur Chini Mills Ltd.,BALRAMCHIN
Banco Products (India) Ltd.,BANCOINDIA
ADITYA BIRLA REAL ESTATE LIMITED,ABREL
Bannari Amman Sugars Ltd.,BANARISUG
BASF India Ltd,BASF
Bata India Limited,BATAINDIA
BEML Ltd,BEML
Bharat Electronics Ltd.,BEL
Bhansali Engineering Polymers Ltd.,BEPL
Binani Industries Limited,BINANIIND
Birla Cable Limited,BIRLACABLE
Blue Star Ltd,BLUESTARCO
BPL Ltd.,BPL
ORIENTAL AROMATICS LIMITED,OAL
Century Extrusions Ltd.,CENTEXT
CESC Limited,CESC
Chambal Fertilisers & Chemicals Ltd,CHAMBLFERT
Exide Industries Ltd.,EXIDEIND
Cipla Ltd.,CIPLA
DIC India Ltd,DICIND
CRISIL Ltd.,CRISIL
CG Power and Industrial Solutions Limited,CGPOWER
Dabur India Ltd.,DABUR
Dalmia Bharat Sugar and Industries Ltd,DALMIASUG
Arvind Ltd.,ARVIND
Bharat Heavy Electricals Ltd.,BHEL
Hindustan Petroleum Corporation Ltd,HINDPETRO
IFCI Ltd.,IFCI
Mahanagar Telephone Nigam Ltd.,MTNL
Mangalore Refinery & Petrochemicals,MRPL
Chennai Petroleum Corporation Ltd.,CHENNPETRO
State Bank Of India,SBIN
Steel Authority of India Ltd.,SAIL
Titan Company Limited,TITAN
IDBI Bank Ltd,IDBI
DCW Ltd.,DCW
Dhampur Sugar Mills Ltd.,DHAMPURSUG
Diamines & Chemicals Ltd.,DIAMINESQ
Dr. Reddy's Laboratories Ltd.,DRREDDY
E.I.D. Parry (India) Ltd.,EIDPARRY
PROCTER & GAMBLE HEALTH LIMITED,PGHL
Electrosteel Castings Ltd.,ELECTCAST
Esab India Ltd.,ESABINDIA
EPL LIMITED,EPL
Ester Industries Ltd.,ESTER
Finolex Cables Ltd.,FINCABLES
Uflex Limited,UFLEX
Foseco India Ltd,FOSECOIND
Golden Tobacco Ltd.,GOLDENTOBC
Ganesh Benzoplast Ltd.,GANESHBE
GTL Ltd,GTL
Godfrey Phillips India Ltd.,GODFRYPHLP
Godrej Industries Ltd.,GODREJIND
Kansai Nerolac Paints,KANSAINER
GHCL Ltd.,GHCL
GFL LIMITED,GFLLIMITED
HCL Infosystems Ltd,HCL-INSYS
HDFC Bank Ltd.,HDFCBANK
Hero MotoCorp Limited,HEROMOTOCO
HFCL LIMITED,HFCL
Himadri Speciality Chemical Ltd.,HSCL
Hindustan Construction Co. Ltd.,HCC
Hindustan Oil Exploration Co. Ltd.,HINDOILEXP
AGI GREENPAC LIMITED,AGI
Hindustan Zinc Ltd.,HINDZINC
NDL Ventures Limited,NDLVENTURE
HMT Limited,HMT
HLV LIMITED,HLVLTD
IG Petrochemicals Ltd,IGPL
India Glycols Ltd,INDIAGLYCO
Indo Rama Synthetics (India) Ltd.,INDORAMA
Infosys Ltd,INFY
Ingersoll-Rand (India) Ltd.,INGERRAND
Ion Exchange (India) Ltd,IONEXCHANG
Agro Tech Foods Ltd,ATFL
Jain Irrigation Systems Ltd.,JISLJALEQS
Jindal Poly Films Ltd.,JINDALPOLY
JSW Steel Limited,JSWSTEEL
Umang Dairies Limited,UMANGDAIRY
Kajaria Ceramics Ltd,KAJARIACER
Kakatiya Cement Sugar & Industries Ltd.,KAKATCEM
Kalyani Steels Ltd,KSL
Whirlpool of India Ltd,WHIRLPOOL
Kirloskar Brothers Ltd.,KIRLOSBROS
Kirloskar Industries Ltd,KIRLOSIND
Kotak Mahindra Bank Ltd.,KOTAKBANK
KSB LIMITED,KSB
L.g.Balkrishnan & Bros. Ltd.,LGBBROSLTD
Trent Ltd [Lakme Ltd],TRENT
LMW Limited,LMW
Lic Housing Finance Ltd.,LICHSGFIN
Lupin Ltd,LUPIN
Lyka Labs Ltd.,LYKALABS
The Ramco Cements Limited,RAMCOCEM
HYBRID FINANCIAL SERVICES LIMITED,HYBRIDFIN
Maharashtra Seamless Ltd.,MAHSEAMLES
